Algorithm,F1 Macro,Precision Macro,Recall Macro,Accuracy
LGBMClassifier,0.7909586560600087,0.8002989842582169,0.7846573993755896,0.8152121149258376
GradientBoostingClassifier,0.7699814219703556,0.7971330130757237,0.7575241447920555,0.8036158074888498
ExtraTreesClassifier,0.7912484608671544,0.8108608685256827,0.7810909173571623,0.819056114510943
KNeighborsClassifier,0.743819823819867,0.7658790384470372,0.733610324263094,0.7798008505341769
RandomForestClassifier,0.7846566911552567,0.8070184253303048,0.7737625513928708,0.8145524323202988
LinearSVC,0.6522611085367267,0.7083383689228375,0.6455721990181617,0.724399958510528
SVC,0.7192188021948137,0.7717649269080237,0.7059328787873186,0.7714220516543927
LogisticRegression,0.6465913286224165,0.6969877034288039,0.6406425508195434,0.7179628669225184
AdaBoostClassifier,0.7783438359544878,0.7990531509379902,0.7684488928305994,0.8087522041282025
BaggingClassifier,0.7577066847670106,0.7822872875593637,0.7465622997163058,0.7926771081837984
MLPClassifier,0.740200676584257,0.7553407536424199,0.7322224620371894,0.7740006223420808
DummyClassifier,0.4850875727889159,0.49738165178760874,0.49717605425352324,0.4977284514054559
