iter	Passed	Remaining
0	2	2319
1	5	2516
2	8	2741
3	11	2787
4	14	2846
5	17	2844
6	19	2831
7	22	2815
8	25	2796
9	28	2792
10	31	2837
11	34	2838
12	37	2845
13	40	2842
14	43	2855
15	46	2856
16	49	2882
17	53	2914
18	56	2909
19	59	2938
20	63	2972
21	67	2987
22	70	2990
23	73	3000
24	76	2991
25	79	2992
26	83	2991
27	86	2991
28	89	2980
29	92	2986
30	95	2990
31	98	2984
32	101	2983
33	105	2989
34	107	2973
35	110	2956
36	113	2958
37	116	2950
38	119	2935
39	121	2923
40	124	2915
41	127	2908
42	130	2900
43	133	2890
44	135	2879
45	138	2868
46	141	2860
47	143	2851
48	146	2841
49	149	2837
50	152	2828
51	154	2821
52	157	2811
53	160	2803
54	162	2796
55	165	2789
56	168	2782
57	170	2777
58	173	2769
59	176	2762
60	179	2758
61	181	2749
62	184	2749
63	187	2743
64	190	2736
65	193	2731
66	195	2726
67	198	2721
68	201	2714
69	204	2711
70	207	2712
71	210	2713
72	213	2713
73	216	2710
74	219	2710
75	223	2711
76	226	2712
77	229	2710
78	232	2712
79	235	2710
80	238	2709
81	242	2714
82	245	2714
83	248	2712
84	251	2712
85	255	2710
86	258	2710
87	262	2715
88	265	2713
89	268	2710
90	271	2709
91	274	2708
92	277	2706
93	280	2705
94	284	2705
95	286	2702
96	290	2703
97	293	2705
98	296	2702
99	299	2698
100	302	2695
101	306	2694
102	308	2690
103	311	2687
104	314	2681
105	317	2677
106	320	2673
107	323	2669
108	326	2665
109	328	2660
110	331	2654
111	334	2649
112	336	2643
113	339	2637
114	342	2632
115	344	2626
116	347	2621
117	350	2616
118	352	2611
119	355	2607
120	358	2604
121	361	2600
122	364	2596
123	367	2593
124	369	2588
125	372	2583
126	375	2579
127	378	2577
128	381	2573
129	383	2569
130	386	2564
131	389	2560
132	392	2555
133	394	2551
134	397	2548
135	400	2545
136	404	2545
137	407	2545
138	410	2544
139	413	2541
140	416	2540
141	420	2540
142	423	2538
143	426	2536
144	429	2534
145	432	2531
146	436	2531
147	439	2529
148	443	2530
149	446	2529
150	449	2526
151	453	2527
152	456	2526
153	459	2524
154	462	2521
155	465	2518
156	469	2518
157	472	2515
158	475	2514
159	478	2510
160	481	2508
161	484	2508
162	488	2506
163	490	2502
164	493	2498
165	496	2495
166	499	2493
167	502	2489
168	505	2485
169	508	2481
170	510	2476
171	513	2474
172	517	2474
173	520	2471
174	523	2467
175	526	2463
176	528	2458
177	531	2456
178	534	2452
179	537	2447
180	540	2444
181	542	2440
182	545	2435
183	548	2432
184	551	2428
185	554	2425
186	556	2421
187	559	2417
188	562	2413
189	565	2409
190	567	2405
191	570	2401
192	573	2399
193	576	2395
194	579	2392
195	582	2388
196	584	2384
197	587	2380
198	590	2376
199	593	2372
200	595	2367
201	598	2364
202	601	2362
203	605	2360
204	607	2357
205	610	2354
206	614	2352
207	617	2351
208	620	2349
209	623	2346
210	626	2344
211	630	2344
212	634	2342
213	637	2340
214	640	2338
215	643	2335
216	646	2333
217	650	2331
218	653	2329
219	656	2327
220	659	2325
221	662	2322
222	665	2319
223	669	2317
224	672	2315
225	675	2312
226	678	2310
227	681	2307
228	684	2304
229	687	2301
230	690	2298
231	693	2296
232	696	2294
233	700	2293
234	703	2290
235	706	2286
236	709	2284
237	712	2280
238	715	2277
239	718	2274
240	720	2270
241	723	2265
242	726	2262
243	728	2258
244	731	2254
245	734	2250
246	737	2247
247	739	2243
248	742	2239
249	745	2235
250	747	2231
251	750	2228
252	753	2224
253	756	2220
254	758	2217
255	761	2213
256	764	2209
257	767	2206
258	770	2203
259	772	2199
260	775	2195
261	778	2191
262	780	2188
263	783	2184
264	786	2181
265	788	2177
266	791	2174
267	794	2171
268	798	2170
269	801	2167
270	805	2166
271	808	2164
272	811	2161
273	814	2158
274	817	2155
275	820	2152
276	823	2150
277	826	2147
278	829	2144
279	833	2142
280	836	2140
281	840	2139
282	843	2138
283	847	2136
284	851	2135
285	855	2134
286	858	2133
287	862	2131
288	865	2130
289	869	2129
290	873	2128
291	877	2126
292	880	2124
293	883	2122
294	886	2119
295	889	2116
296	893	2115
297	896	2112
298	899	2108
299	902	2104
300	905	2102
301	908	2099
302	910	2095
303	913	2091
304	916	2088
305	919	2085
306	922	2082
307	925	2078
308	927	2074
309	930	2071
310	933	2067
311	936	2064
312	938	2060
313	941	2057
314	944	2054
315	947	2050
316	949	2046
317	952	2043
318	955	2039
319	958	2035
320	961	2032
321	963	2029
322	966	2025
323	969	2022
324	971	2018
325	974	2014
326	977	2011
327	979	2007
328	982	2004
329	985	2000
330	988	1997
331	991	1994
332	994	1991
333	997	1988
334	1001	1987
335	1004	1984
336	1008	1983
337	1011	1980
338	1014	1977
339	1017	1975
340	1021	1973
341	1024	1970
342	1027	1968
343	1030	1965
344	1034	1963
345	1037	1960
346	1040	1958
347	1044	1956
348	1047	1954
349	1050	1951
350	1054	1949
351	1057	1947
352	1060	1944
353	1063	1941
354	1067	1938
355	1070	1936
356	1073	1932
357	1076	1929
358	1079	1927
359	1083	1925
360	1086	1923
361	1089	1919
362	1092	1917
363	1095	1914
364	1098	1910
365	1101	1907
366	1103	1903
367	1106	1900
368	1109	1896
369	1111	1893
370	1114	1889
371	1117	1886
372	1120	1883
373	1123	1879
374	1126	1876
375	1129	1873
376	1131	1870
377	1134	1866
