iter	Logloss
0	0.6191942926
1	0.5527487673
2	0.5190577695
3	0.4957747993
4	0.4654136324
5	0.4435926251
6	0.4259453774
7	0.4091214849
8	0.3964876906
9	0.386243935
10	0.3744508519
11	0.3656550343
12	0.3548857129
13	0.3446515734
14	0.3363617731
15	0.3256320443
16	0.3165793701
17	0.3083011522
18	0.3050676156
19	0.299152395
20	0.2935320314
21	0.2895395946
22	0.2835730151
23	0.2799947692
24	0.2741155991
25	0.2672392122
26	0.2634354636
27	0.2590993526
28	0.2568291672
29	0.2506095803
30	0.2476666571
31	0.2447172756
32	0.2407625357
33	0.236868387
34	0.2328087898
35	0.2277179972
36	0.223743551
37	0.222488106
38	0.2186431359
39	0.2101430589
40	0.2058658008
41	0.2040611475
42	0.2008626414
43	0.1961234404
44	0.1929258416
45	0.190269645
46	0.189707882
47	0.1892447135
48	0.1878405236
49	0.1859701783
50	0.1855767681
51	0.1824262579
52	0.1823287253
53	0.1793671793
54	0.1756801882
55	0.1755623423
56	0.1716447674
57	0.1715076837
58	0.1699979826
59	0.1662491352
60	0.1642800639
61	0.1621979436
62	0.162108132
63	0.1587050763
64	0.1563189476
65	0.1561888427
66	0.1531011677
67	0.1497237122
68	0.1495462718
69	0.1469000471
70	0.1450433878
71	0.1409807087
72	0.138793536
73	0.1356802285
74	0.1335934262
75	0.1318782651
76	0.1290494292
77	0.1273728392
78	0.1265928017
79	0.1239546001
80	0.1216730965
81	0.1213434394
82	0.1193912865
83	0.1193217654
84	0.1168349609
85	0.1153631397
86	0.1124155069
87	0.1101481297
88	0.1074877638
89	0.1056421947
90	0.1030611109
91	0.1012163224
92	0.09872986186
93	0.09645649499
94	0.09554063844
95	0.09370711047
96	0.09212416069
97	0.09039617973
98	0.08895505738
99	0.08886062746
100	0.08758998284
101	0.08578176757
102	0.08531555451
103	0.08358758361
104	0.08269557039
105	0.08164109526
106	0.08039884382
107	0.08032095432
108	0.0786507021
109	0.07859282889
110	0.07738237967
111	0.07605441353
112	0.0750991806
113	0.07355396078
114	0.0724369214
115	0.07225317075
116	0.07090116921
117	0.06964991736
118	0.06891675445
119	0.06783172428
120	0.06713113437
