iter	Passed	Remaining
0	9	1103
1	18	1104
2	28	1102
3	37	1084
4	46	1077
5	55	1055
6	64	1050
7	72	1028
8	82	1027
9	90	1000
10	98	986
11	106	968
12	114	953
13	123	944
14	132	934
15	141	926
16	149	914
17	157	900
18	164	885
19	173	875
20	181	863
21	188	849
22	197	839
23	204	828
24	212	817
25	221	810
26	231	804
27	239	796
28	249	790
29	258	785
30	267	777
31	278	773
32	287	766
33	298	762
34	308	758
35	318	752
36	328	745
37	337	736
38	346	729
39	354	718
40	362	707
41	371	698
42	379	688
43	387	678
44	395	668
45	404	658
46	412	648
47	420	639
48	430	633
49	440	625
50	449	617
51	459	609
52	468	601
53	479	594
54	487	584
55	496	576
56	505	567
57	515	559
58	524	550
59	531	540
60	540	531
61	548	521
62	555	511
63	563	501
64	571	492
65	578	482
66	586	472
67	594	463
68	601	453
69	610	444
70	619	436
71	628	427
72	638	419
73	646	410
74	656	402
75	665	393
76	675	385
77	683	376
78	693	368
79	702	360
80	711	351
81	720	342
82	728	333
83	737	324
84	745	315
85	752	306
86	760	297
87	768	288
88	777	279
89	784	270
90	792	261
91	800	252
92	807	243
93	815	234
94	823	225
95	832	216
96	842	208
97	852	200
98	861	191
99	871	183
100	880	174
101	890	165
102	898	157
103	909	148
104	918	139
105	927	131
106	935	122
107	943	113
108	951	104
109	959	95
110	967	87
111	975	78
112	983	69
113	990	60
114	999	52
115	1006	43
116	1014	34
117	1022	25
118	1032	17
119	1042	8
120	1051	0
